Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2024-06-11,15:02:00,SALISBURY,Moes Legacy,6f,1,10.0,10.5,0.057913512
2024-06-11,15:02:00,SALISBURY,Match Anthem,6f,5,10.0,12.55,0.5972868
2024-06-11,15:02:00,SALISBURY,Meganissi,6f,9,12.0,14.0,0.093215525
2024-06-11,15:02:00,SALISBURY,Miss Idunn,6f,4,21.0,22.0,0.018733982
2024-06-11,15:02:00,SALISBURY,Liege,6f,8,41.0,84.78,0.008893583
2024-06-11,15:37:00,SALISBURY,Miss Stormy Night,6f,1,4.0,4.4,0.5510013
2024-06-11,15:37:00,SALISBURY,Dream Of Keda,6f,9,81.0,111.86,0.011894414
2024-06-11,15:37:00,SALISBURY,Little Miss Magic,6f,5,5.5,6.69,0.5578033
2024-06-11,15:37:00,SALISBURY,Crocus Time,6f,4,5.5,6.6,0.6680117
2024-06-11,15:37:00,SALISBURY,Thunderous Love,6f,6,6.0,6.45,0.29226786
2024-06-11,15:37:00,SALISBURY,Melisende,6f,7,6.0,6.34,0.46322316
2024-06-11,15:37:00,SALISBURY,Eighth Army,6f,8,13.0,16.0,0.103431545
2024-06-11,15:37:00,SALISBURY,Ten Commitments,6f,2,21.0,23.76,0.22955444
2024-06-11,15:37:00,SALISBURY,Kingwood Queen,6f,3,26.0,31.33,0.057805713
2024-06-11,15:37:00,SALISBURY,Trois Blancs,6f,10,41.0,60.0,0.015446032
2024-06-11,16:07:00,SALISBURY,Amsterdam,7f,2,3.0,3.2,0.443383
2024-06-11,16:07:00,SALISBURY,King Of Codes,7f,10,201.0,533.91,0.0046937745
2024-06-11,16:07:00,SALISBURY,Capital Love,7f,11,251.0,964.89,0.0049381284
2024-06-11,16:07:00,SALISBURY,Ravishing Beauty,7f,3,4.33,4.3,0.36987716
2024-06-11,16:07:00,SALISBURY,Jodhpur Blue,7f,5,6.0,7.18,0.63342804
2024-06-11,16:07:00,SALISBURY,Drumstick,7f,4,7.0,8.4,0.24807434
2024-06-11,16:07:00,SALISBURY,Perennial,7f,1,12.0,16.42,0.51084685
2024-06-11,16:07:00,SALISBURY,Sarmiento Power,7f,7,13.0,17.73,0.067909904
2024-06-11,16:07:00,SALISBURY,Harmoniser,7f,8,15.0,19.15,0.4402403
2024-06-11,16:07:00,SALISBURY,Happy Chandler,7f,6,29.0,46.52,0.019032845
2024-06-11,16:07:00,SALISBURY,CMon Pompey,7f,9,81.0,161.02,0.0032959322
2024-06-11,16:37:00,SALISBURY,Steel Tiger,1m4f,5,4.0,4.75,0.6354491
2024-06-11,16:37:00,SALISBURY,Crown Of India,1m4f,3,4.33,4.8,0.48414454
2024-06-11,16:37:00,SALISBURY,Leicester Square,1m4f,1,5.0,5.6,0.1124323
2024-06-11,16:37:00,SALISBURY,Liam Swagger,1m4f,2,5.0,5.64,0.5290951
2024-06-11,16:37:00,SALISBURY,Eben Zaabeel,1m4f,4,7.5,9.2,0.17303379
2024-06-11,16:37:00,SALISBURY,Mawayed,1m4f,7,13.0,16.6,0.20929298
2024-06-11,16:37:00,SALISBURY,Pagan Sun,1m4f,6,13.0,18.99,0.06758987
2024-06-11,16:37:00,SALISBURY,Be Like Pumpkin,1m4f,11,81.0,169.47,0.011791864
2024-06-11,16:37:00,SALISBURY,Shaad,1m4f,9,251.0,768.95,0.004225289
2024-06-11,16:37:00,SALISBURY,Tango Sunset,1m4f,10,251.0,885.45,0.004529305
2024-06-11,16:37:00,SALISBURY,Mr Cliff,1m4f,8,251.0,631.01,0.0027375955
2024-06-11,17:07:00,SALISBURY,Quietness,1m2f,1,3.5,3.67,0.44399583
2024-06-11,17:07:00,SALISBURY,Switchel,1m2f,7,51.0,60.0,0.0030795832
2024-06-11,17:07:00,SALISBURY,Xiomara,1m2f,5,5.0,5.71,0.25803575
2024-06-11,17:07:00,SALISBURY,Alhattan,1m2f,2,5.0,6.2,0.3282358
2024-06-11,17:07:00,SALISBURY,Frankelian,1m2f,3,7.5,7.94,0.07323625
2024-06-11,17:07:00,SALISBURY,Ciara Pearl,1m2f,6,8.5,10.97,0.13317925
2024-06-11,17:07:00,SALISBURY,Pratigya,1m2f,4,12.0,15.58,0.15913828
2024-06-11,17:07:00,SALISBURY,Glimmer Of Light,1m2f,8,15.0,17.2,0.052681718
2024-06-11,17:07:00,SALISBURY,Miss Bielsa,1m2f,9,26.0,38.64,0.006315798
2024-06-11,17:07:00,SALISBURY,Bigtime Bridget,1m2f,10,41.0,60.0,0.01046436
2024-06-11,17:42:00,SALISBURY,Regal Envoy,6f,1,3.75,3.69,0.56346345
2024-06-11,17:42:00,SALISBURY,Strike,6f,3,5.5,6.54,0.42789868
2024-06-11,17:42:00,SALISBURY,Lihou,6f,2,7.5,8.02,0.14103793
2024-06-11,17:42:00,SALISBURY,Crimson Angel,6f,5,7.5,8.73,0.15811802
2024-06-11,17:42:00,SALISBURY,Bright,6f,8,8.5,10.83,0.22115044
2024-06-11,17:42:00,SALISBURY,Big R,6f,4,9.0,11.25,0.08491088
2024-06-11,17:42:00,SALISBURY,Shes Centimental,6f,6,13.0,16.6,0.048658445
2024-06-11,17:42:00,SALISBURY,Cooperation,6f,9,15.0,16.56,0.0887357
2024-06-11,17:42:00,SALISBURY,Ultramarine,6f,7,17.0,22.0,0.055991884
2024-05-25,16:49:00,SALISBURY,Miss Collada,5f,1,2.1,2.21,0.5974594
2024-05-25,16:49:00,SALISBURY,Mister McGregor,5f,2,4.5,5.4,0.68198407
2024-05-25,16:49:00,SALISBURY,Lovestruck Romeo,5f,3,6.0,7.09,0.3374143
2024-05-25,16:49:00,SALISBURY,Sun Petal,5f,6,8.5,10.5,0.12512091
2024-05-25,16:49:00,SALISBURY,Enola Holmes,5f,5,12.0,15.5,0.5686488
2024-05-25,16:49:00,SALISBURY,Zoulu Warrior,5f,8,26.0,37.5,0.12270135
2024-05-25,16:49:00,SALISBURY,Roysdelight,5f,4,29.0,44.0,0.021681419
